graph,algorithm,kind,runCount,feasibleRunCount,meanBestCost,stdBestCost,minBestCost,maxBestCost,meanElapsedMilliseconds,meanIterations,meanObjectiveEvaluations
berlin52,aco_basic,aco,5,5,1905,15.684387141358123,1890,1922,2299.5679800000003,313,12520
berlin52,aco_elite,aco,5,5,1896.2,15.546703830716012,1889,1924,3248.7475400000003,439.39999999999998,17576
berlin52,sa_basic,sa,5,5,2100,35.587919298548492,2055,2148,39.866879999999995,13851,14062
berlin52,sa_cauchy,sa,5,5,2066.1999999999998,39.410658456818503,2021,2124,38.1661,13596.6,13807.6
small6,aco_basic,aco,5,5,12,0,12,12,42.275020000000005,201,8035.1999999999998
small6,aco_elite,aco,5,5,12,0,12,12,30.42212,201,8035.3999999999996
small6,sa_basic,sa,5,5,12,0,12,12,5.6022400000000001,6024,6235
small6,sa_cauchy,sa,5,5,12,0,12,12,5.0782399999999992,6027.8000000000002,6238.8000000000002
world666,aco_basic,aco,5,5,342480.40000000002,5947.5886542362696,336125,351575,768457.98164000001,717.60000000000002,28704
world666,aco_elite,aco,5,5,340248.20000000001,9697.8532779167181,329260,353558,591388.13696000003,555.20000000000005,22208
world666,sa_basic,sa,5,5,1000680.8,13187.003969818164,990865,1023318,952.14106000000015,30000,30211
world666,sa_cauchy,sa,5,5,1019895.8,7206.8653171819433,1012010,1028800,928.27646000000004,30000,30211
